"V1","V2"
"0.108","2306-Bauschinger"
"15.69","1349-Bechuana"
"0.046","943-Begonia"
"5.304","7072-Beijingdaxue"
"0.244","178-Belisana"
"0.145","695-Bella"
"0.176","28-Bellona"
"0.040","101955-Bennu"
"0.066","776-Berbericia"
"0.214","629-Bernardina"
"10.76","3266-Bernardus"
"0.048","154-Bertha"
"0.258","250-Bettina"
"0.080","1580-Betulia-"
"0.038","1963-Bezovec"
"0.175","218-Bianca"
"4.064","2991-Bilbo"
"10.40","5738-Billpickering"
NA,"5299-Bittesini"
"0.021","998-Bodea"
"0.192","371-Bohemia"
"0.203","720-Bohlinia"
"5.864","1635-Bohrmann"
"0.045","361-Bononia"
"5.442","3544-Borodino"
"0.099","606-Brangane"
"0.061","293-Brasilia"
"3.098","3918-Brel"
"0.227","1219-Britta"
"0.045","1746-Brouwer"
"5.932","1643-Brown"
"128.0","2430-Bruce-Helin"
"0.071","455-Bruchsalia"
"13.81","290-Bruna"
"0.158","908-Buda"
"8.648","6517-Buzzi"
"5.220","199-Byblis"
"0.180","297-Caecilia"
"0.271","1245-Calvinia"
"0.052","107-Camilla"
"37.85","3752-Camillo"
"0.059","377-Campania"
"3.851","1077-Campanula"
"4.625","3015-Candy"
NA,"1391-Carelia"
"0.053","360-Carlova"
"4.095","4769-Castalia"
"0.040","505-Cava"
"0.193","186-Celuta"
"0.088","513-Centesima"
"0.153","807-Ceraskia"
"0.220","1865-Cerberus"
"4.877","1333-Cevenola"
"0.052","313-Chaldaea"
"0.260","543-Charlotte"
"0.085","1633-Chimay"
"5.367","1125-China"
"0.148","402-Chloe"
"0.143","628-Christine"
"0.111","1275-Cimbria"
"0.054","34-Circe"
"0.052","302-Clarissa"
"0.338","311-Claudia"
"0.211","237-Coelestina"
"0.057","1135-Colchis"
"0.236","327-Columbia"
"0.043","489-Comacina"
NA,"6671-Concari"
"6.321","1528-Conrada"
"5.345","315-Constantia"
"0.034","365-Corduba"
"4.445","915-Cosette"
"0.157","644-Cosima"
"0.163","486-Cremona"
"0.219","660-Crescentia"
"0.177","1140-Crimea"
